Unnamed: 0,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,IP_Address,Dst_IP,Timestamp
0,443.0,6.0,198.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,388888.8889,15151.51515,99.0,121.6223664,185.0,13.0,198.0,99.0,121.6223664,185.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,15151.51515,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,256.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.157.140.179,68.84.170.119,2022-5-26' '3:33.30
1,443.0,6.0,223.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,345291.4798,13452.9148,111.5,130.8147545,204.0,19.0,223.0,111.5,130.8147545,204.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,13452.9148,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,256.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.22.98.10,121.168.199.64,2024-12-20' '1:48.37
2,443.0,6.0,587.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,131175.4685,5110.732538,293.5,395.2726907,573.0,14.0,587.0,293.5,395.2726907,573.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,5110.732538,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,258.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.124.142.153,88.193.245.149,2023-5-12' '12:6.53
3,443.0,6.0,763.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,100917.4312,3931.847969,381.5,526.794552,754.0,9.0,763.0,381.5,526.794552,754.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,3931.847969,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,254.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.208.41.252,161.8.67.106,2024-2-25' '9:40.54
4,443.0,6.0,852.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,90375.58685,3521.126761,426.0,589.7270555,843.0,9.0,852.0,426.0,589.7270555,843.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,3521.126761,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,258.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.165.122.177,26.91.152.124,2022-7-26' '20:59.12
5,52355.0,6.0,1.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,77000000.0,3000000.0,0.5,0.707106781,1.0,0.0,1.0,0.5,0.707106781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,3000000.0,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,123.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.86.23.172,203.249.134.202,2024-12-22' '2:13.52
6,443.0,6.0,232.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,331896.5517,12931.03448,116.0,141.4213562,216.0,16.0,232.0,116.0,141.4213562,216.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,12931.03448,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,256.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.137.156.115,90.145.255.61,2023-12-14' '23:25.19
7,443.0,6.0,232.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,331896.5517,12931.03448,116.0,140.0071427,215.0,17.0,232.0,116.0,140.0071427,215.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,12931.03448,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,254.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.27.228.158,247.81.153.125,2022-11-9' '5:39.6
8,443.0,6.0,496.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,155241.9355,6048.387097,248.0,330.9259736,482.0,14.0,496.0,248.0,330.9259736,482.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,6048.387097,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,258.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.144.38.140,210.21.152.160,2023-11-9' '16:18.2
9,443.0,6.0,598.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,128762.5418,5016.722408,299.0,401.6366517,583.0,15.0,598.0,299.0,401.6366517,583.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,5016.722408,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,256.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.51.46.201,81.201.190.250,2024-8-19' '13:2.15
10,443.0,6.0,1003.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,76769.69093,2991.026919,501.5,688.0148981,988.0,15.0,1003.0,501.5,688.0148981,988.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,2991.026919,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,253.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.196.218.53,153.206.95.171,2024-5-13' '7:16.28
11,443.0,6.0,959.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,80291.9708,3128.258603,479.5,645.5884912,936.0,23.0,959.0,479.5,645.5884912,936.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,3128.258603,0.0,0.0,46.0,30.75,21.68524844,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.66666667,0.0,3.0,77.0,0.0,0.0,255.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.130.1.238,103.144.170.243,2022-4-12' '8:46.53
12,52371.0,6.0,121.0,3.0,1.0,77.0,0.0,46.0,0.0,25.66666667,23.45918441,0.0,0.0,0.0,0.0,636363.6364,33057.85124,40.33333333,52.72886622,100.0,0.0,121.0,60.5,85.55992052,121.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,20.0,24793.38843,8264.46281,0.0,46.0,24.6,23.27659769,541.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,30.75,25.66666667,0.0,3.0,77.0,1.0,0.0,136.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.76.99.188,75.60.71.165,2024-3-27' '10:59.5
13,52384.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,176.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.117.22.250,131.91.2.244,2024-5-22' '16:38.49
14,445.0,6.0,243950.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.39680262,81316.66667,140791.7737,243889.0,1.0,243950.0,121975.0,172497.2851,243949.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,32.0,12.29760197,4.099200656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,8192.0,8192.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.39.72.224,157.153.14.168,2024-7-12' '8:16.0
